2018-11-04 17:38:42,117 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:38:42,132 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:38:42,132 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:38:42,132 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 17:39:18,812 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI
2018-11-04 17:39:18,828 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-11-04 17:40:05,196 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:40:05,212 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:40:05,227 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:40:05,240 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 17:40:07,076 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:40:07,091 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:40:07,107 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:40:07,123 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 17:40:31,913 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:40:31,928 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:40:31,946 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:40:31,956 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 17:42:50,625 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:42:50,648 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:42:50,655 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:42:50,670 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 17:43:23,636 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:43:23,636 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:43:23,652 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:43:23,652 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 17:43:38,295 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI
2018-11-04 17:43:38,295 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-11-04 17:44:23,651 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:44:23,678 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:44:23,684 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:44:23,688 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 17:44:25,462 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:44:25,482 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 17:44:25,482 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 17:44:25,482 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 18:00:49,293 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 18:00:49,308 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\main\resources
2018-11-04 18:00:49,324 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 18:00:49,324 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI\src\test\resources
2018-11-04 18:10:10,645 [Worker-45] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Rooh\Desktop\172new\hw2\KarafTwitterAPI
